,train_tag,et_bin,eta_bin,model_idx,sort,init,file_name,tuned_idx,max_sp_val,max_sp_pd_val,max_sp_fa_val,max_sp_op,max_sp_pd_op,max_sp_fa_op,tight_pd_ref,tight_fa_ref,tight_sp_ref,tight_pd_val,tight_fa_val,tight_sp_val,tight_pd_op,tight_fa_op,tight_sp_op,tight_pd_ref_passed,tight_fa_ref_passed,tight_pd_ref_total,tight_fa_ref_total,tight_pd_val_passed,tight_fa_val_passed,tight_pd_val_total,tight_fa_val_total,tight_pd_op_passed,tight_fa_op_passed,tight_pd_op_total,tight_fa_op_total,medium_pd_ref,medium_fa_ref,medium_sp_ref,medium_pd_val,medium_fa_val,medium_sp_val,medium_pd_op,medium_fa_op,medium_sp_op,medium_pd_ref_passed,medium_fa_ref_passed,medium_pd_ref_total,medium_fa_ref_total,medium_pd_val_passed,medium_fa_val_passed,medium_pd_val_total,medium_fa_val_total,medium_pd_op_passed,medium_fa_op_passed,medium_pd_op_total,medium_fa_op_total,loose_pd_ref,loose_fa_ref,loose_sp_ref,loose_pd_val,loose_fa_val,loose_sp_val,loose_pd_op,loose_fa_op,loose_sp_op,loose_pd_ref_passed,loose_fa_ref_passed,loose_pd_ref_total,loose_fa_ref_total,loose_pd_val_passed,loose_fa_val_passed,loose_pd_val_total,loose_fa_val_total,loose_pd_op_passed,loose_fa_op_passed,loose_pd_op_total,loose_fa_op_total,vloose_pd_ref,vloose_fa_ref,vloose_sp_ref,vloose_pd_val,vloose_fa_val,vloose_sp_val,vloose_pd_op,vloose_fa_op,vloose_sp_op,vloose_pd_ref_passed,vloose_fa_ref_passed,vloose_pd_ref_total,vloose_fa_ref_total,vloose_pd_val_passed,vloose_fa_val_passed,vloose_pd_val_total,vloose_fa_val_total,vloose_pd_op_passed,vloose_fa_op_passed,vloose_pd_op_total,vloose_fa_op_total
304,v10,1,1,0,0,4,/home/jodafons/public/tunings/v10/user.jodafons.data17_13TeV.AllPeriods.sgn.probes_lhmedium_EGAM1.bkg.VProbes_EGAM7.GRL_v97.v10_et1_eta1.r2/job_configId_4/tunedDiscr.jobID_0004.pic.gz,0,0.981699828090959,0.9882335883651937,0.02481226120943305,0.9812025251218588,0.9885446930956988,0.02611227487714583,0.9887881282281775,0.1601254232375532,0.9128117581231561,0.9887912382057059,0.025470993807913574,0.9816471712241366,0.9887867144761129,0.02638016064362849,0.981188624036761,886562,36462.0,896615,227709,88657,580,89662,22771,886561,6007,896615,227709,0.9914837533480054,0.1841912265215692,0.9015041327452004,0.9915237224242154,0.030126037503842608,0.9806689700428802,0.9914835241435844,0.029739711649517588,0.9808432043909735,888979,41942.0,896615,227709,88902,686,89662,22771,888979,6772,896615,227709,0.995539819595174,0.45433425995459115,0.7536359662047863,0.9955388012759029,0.039084800843177725,0.9781503989621205,0.9955398917037971,0.0385843335133877,0.9784033908738136,892615,103456.0,896615,227709,89262,890,89662,22771,892616,8786,896615,227709,0.996209133668794,0.46931390502790843,0.7450521598901252,0.9961968280877072,0.041763646743665186,0.9771244155109177,0.9962101905500131,0.04128954059786833,0.9773703965232645,893216,106867.0,896615,227709,89321,951,89662,22771,893217,9402,896615,227709
305,v10,1,1,0,1,0,/home/jodafons/public/tunings/v10/user.jodafons.data17_13TeV.AllPeriods.sgn.probes_lhmedium_EGAM1.bkg.VProbes_EGAM7.GRL_v97.v10_et1_eta1.r2/job_configId_5/tunedDiscr.jobID_0005.pic.gz,0,0.9810456220188077,0.9885570252726907,0.026437134952351674,0.9812907477333469,0.989111268493166,0.026498733032071637,0.9887881282281775,0.1601254232375532,0.9128117581231561,0.9888135441993263,0.02683237451143999,0.9809749883250992,0.988788945087914,0.026222064125704297,0.981269088400717,886562,36462.0,896615,227709,88659,611,89662,22771,886563,5971,896615,227709,0.9914837533480054,0.1841912265215692,0.9015041327452004,0.9914791104369745,0.031136094154846077,0.9801388943968325,0.9914846394494851,0.02948939216280428,0.9809695954883166,888979,41942.0,896615,227709,88898,709,89662,22771,888980,6715,896615,227709,0.995539819595174,0.45433425995459115,0.7536359662047863,0.9955499542727131,0.04044618154670414,0.9774690335655747,0.9955387763978966,0.03830327303707803,0.9785445992204492,892615,103456.0,896615,227709,89263,920,89662,22771,892615,8722,896615,227709,0.996209133668794,0.46931390502790843,0.7450521598901252,0.9962079810845174,0.04272978788810329,0.9766420660937885,0.9962113058559137,0.04083281732386511,0.9776015085795337,893216,106867.0,896615,227709,89322,973,89662,22771,893218,9298,896615,227709
306,v10,1,1,0,1,1,/home/jodafons/public/tunings/v10/user.jodafons.data17_13TeV.AllPeriods.sgn.probes_lhmedium_EGAM1.bkg.VProbes_EGAM7.GRL_v97.v10_et1_eta1.r2/job_configId_6/tunedDiscr.jobID_0006.pic.gz,0,0.9820351931761139,0.988110905400281,0.02402178209125642,0.9820745258175435,0.9889060522074692,0.024733321915251485,0.9887881282281775,0.1601254232375532,0.9128117581231561,0.9887689322120854,0.02507575424882526,0.9818343875517987,0.9887900603938146,0.024632315806577692,0.9820674066069632,886562,36462.0,896615,227709,88655,571,89662,22771,886564,5609,896615,227709,0.9914837533480054,0.1841912265215692,0.9015041327452004,0.9914791104369745,0.029642966931623556,0.9808896442035349,0.9914801782258829,0.02791721012344703,0.9817575306275781,888979,41942.0,896615,227709,88898,675,89662,22771,888976,6357,896615,227709,0.995539819595174,0.45433425995459115,0.7536359662047863,0.9955276482790926,0.03855781476439331,0.978410697997913,0.9955398917037971,0.036643259598874,0.9793822163367967,892615,103456.0,896615,227709,89261,878,89662,22771,892616,8344,896615,227709,0.996209133668794,0.46931390502790843,0.7450521598901252,0.9962079810845174,0.04167581573053445,0.977174284219996,0.9962101905500131,0.03908936405675665,0.9784808186083159,893216,106867.0,896615,227709,89322,949,89662,22771,893217,8901,896615,227709
307,v10,1,1,0,1,2,/home/jodafons/public/tunings/v10/user.jodafons.data17_13TeV.AllPeriods.sgn.probes_lhmedium_EGAM1.bkg.VProbes_EGAM7.GRL_v97.v10_et1_eta1.r2/job_configId_7/tunedDiscr.jobID_0007.pic.gz,0,0.981408998532024,0.9884901072918293,0.025646655834175046,0.9816273925083167,0.9893711347679884,0.026085925457491797,0.9887881282281775,0.1601254232375532,0.9128117581231561,0.9887800852088956,0.026393219445786306,0.9811787674287379,0.9887878297820135,0.0255413707846418,0.9816101561215622,886562,36462.0,896615,227709,88656,601,89662,22771,886562,5816,896615,227709,0.9914837533480054,0.1841912265215692,0.9015041327452004,0.9915014164305949,0.030389530543234816,0.980525396754802,0.9914857547553856,0.028777957832145415,0.98132774616944,888979,41942.0,896615,227709,88900,692,89662,22771,888981,6553,896615,227709,0.995539819595174,0.45433425995459115,0.7536359662047863,0.9955499542727131,0.03917263185630846,0.9781116182714353,0.995537661091996,0.03738543491912924,0.9790069123138262,892615,103456.0,896615,227709,89263,892,89662,22771,892614,8513,896615,227709,0.996209133668794,0.46931390502790843,0.7450521598901252,0.9962191340813277,0.042027139783057395,0.9770024170640581,0.9962090752441126,0.03950656320127883,0.9782697562644337,893216,106867.0,896615,227709,89323,956,89662,22771,893216,8996,896615,227709
308,v10,1,1,0,1,3,/home/jodafons/public/tunings/v10/user.jodafons.data17_13TeV.AllPeriods.sgn.probes_lhmedium_EGAM1.bkg.VProbes_EGAM7.GRL_v97.v10_et1_eta1.r2/job_configId_8/tunedDiscr.jobID_0008.pic.gz,0,0.9813758197820422,0.9898842318931097,0.0270958675508322,0.9815719676668109,0.9888792848658566,0.025708250442450672,0.9887881282281775,0.1601254232375532,0.9128117581231561,0.988847003189757,0.026656712485178518,0.981079832691976,0.9887922910056156,0.025651160033200268,0.9815572820861155,886562,36462.0,896615,227709,88662,607,89662,22771,886566,5841,896615,227709,0.9914837533480054,0.1841912265215692,0.9015041327452004,0.9914679574401641,0.02955513591849282,0.9809282501386072,0.9914824088376839,0.02872965056277969,0.9813503606036392,888979,41942.0,896615,227709,88897,673,89662,22771,888978,6542,896615,227709,0.995539819595174,0.45433425995459115,0.7536359662047863,0.9955388012759029,0.03943612489570067,0.9779731602811321,0.9955398917037971,0.03722294683126271,0.9790899495475375,892615,103456.0,896615,227709,89262,897,89662,22771,892616,8476,896615,227709,0.996209133668794,0.46931390502790843,0.7450521598901252,0.9962079810845174,0.04255412586184182,0.9767307793873389,0.9962101905500131,0.04002476845447479,0.9780088014903537,893216,106867.0,896615,227709,89322,969,89662,22771,893217,9114,896615,227709
309,v10,1,1,0,1,4,/home/jodafons/public/tunings/v10/user.jodafons.data17_13TeV.AllPeriods.sgn.probes_lhmedium_EGAM1.bkg.VProbes_EGAM7.GRL_v97.v10_et1_eta1.r2/job_configId_9/tunedDiscr.jobID_0009.pic.gz,0,0.9804899233841563,0.9888135441993263,0.02779851565587809,0.9806996473974148,0.9893722500738891,0.027934776403216385,0.9887881282281775,0.1601254232375532,0.9128117581231561,0.9888135441993263,0.02779851565587809,0.9804899233841563,0.9887911756997151,0.027390221730366388,0.9806837896581113,886562,36462.0,896615,227709,88659,633,89662,22771,886565,6237,896615,227709,0.9914837533480054,0.1841912265215692,0.9015041327452004,0.9914791104369745,0.03280488340433007,0.979299476683674,0.9914835241435844,0.031079140481930886,0.9801697304718053,888979,41942.0,896615,227709,88898,747,89662,22771,888979,7077,896615,227709,0.995539819595174,0.45433425995459115,0.7536359662047863,0.9955388012759029,0.0421588863027535,0.976599005250339,0.9955398917037971,0.04055614841749777,0.9774085531299627,892615,103456.0,896615,227709,89262,960,89662,22771,892616,9235,896615,227709,0.996209133668794,0.46931390502790843,0.7450521598901252,0.9962079810845174,0.045320802775460016,0.9753330668079226,0.9962101905500131,0.043059343284630826,0.976476715811966,893216,106867.0,896615,227709,89322,1032,89662,22771,893217,9805,896615,227709
310,v10,1,1,0,2,0,/home/jodafons/public/tunings/v10/user.jodafons.data17_13TeV.AllPeriods.sgn.probes_lhmedium_EGAM1.bkg.VProbes_EGAM7.GRL_v97.v10_et1_eta1.r2/job_configId_10/tunedDiscr.jobID_0010.pic.gz,0,0.9815530048082868,0.9874528785884767,0.024329190637214,0.9818096219957034,0.9874818065724976,0.02384622478689907,0.9887881282281775,0.1601254232375532,0.9128117581231561,0.9888023912025161,0.026393219445786306,0.9811898774412585,0.9887878297820135,0.02525152716844745,0.981755603326251,886562,36462.0,896615,227709,88658,601,89662,22771,886562,5750,896615,227709,0.9914837533480054,0.1841912265215692,0.9015041327452004,0.9914791104369745,0.030038206490711872,0.9806909445952348,0.9914857547553856,0.028413457526931304,0.9815109334254455,888979,41942.0,896615,227709,88898,684,89662,22771,888981,6470,896615,227709,0.995539819595174,0.45433425995459115,0.7536359662047863,0.9955164952822824,0.03803082868560889,0.9786709587668074,0.9955398917037971,0.03707802502316553,0.9791630204033447,892615,103456.0,896615,227709,89260,866,89662,22771,892616,8443,896615,227709,0.996209133668794,0.46931390502790843,0.7450521598901252,0.9961745220940866,0.040270519520442666,0.977867103585465,0.9962046140205105,0.03963391872960665,0.9782032804561409,893216,106867.0,896615,227709,89319,916,89662,22771,893212,9025,896615,227709
311,v10,1,1,0,2,1,/home/jodafons/public/tunings/v10/user.jodafons.data17_13TeV.AllPeriods.sgn.probes_lhmedium_EGAM1.bkg.VProbes_EGAM7.GRL_v97.v10_et1_eta1.r2/job_configId_11/tunedDiscr.jobID_0011.pic.gz,0,0.9809742821000075,0.9901853628069862,0.028193755214966403,0.9807507315360656,0.9877528259063254,0.026226455695646637,0.9887881282281775,0.1601254232375532,0.9128117581231561,0.9887800852088956,0.02731544508365904,0.9807158099104551,0.9887844838643118,0.02731995661128897,0.9807157351884555,886562,36462.0,896615,227709,88656,622,89662,22771,886559,6221,896615,227709,0.9914837533480054,0.1841912265215692,0.9015041327452004,0.9914791104369745,0.03030169953010408,0.9805584668819117,0.9914835241435844,0.030745381166313146,0.9803375688087274,888979,41942.0,896615,227709,88898,690,89662,22771,888979,7001,896615,227709,0.995539819595174,0.45433425995459115,0.7536359662047863,0.9955388012759029,0.039699617935092885,0.9778402205374452,0.9955398917037971,0.04002037688453245,0.977678916389488,892615,103456.0,896615,227709,89262,904,89662,22771,892616,9113,896615,227709,0.996209133668794,0.46931390502790843,0.7450521598901252,0.9962191340813277,0.04259804136840718,0.9767141230889476,0.9962090752441126,0.042650927279993325,0.9766824346829771,893216,106867.0,896615,227709,89323,970,89662,22771,893216,9712,896615,227709
